department,day,population,encounters
""5"",2008-04-30,1492,1153
""5"",2008-06-30,1605,1085
""5"",2008-07-31,1688,1509
""5"",2008-09-30,1761,591
""5"",2008-10-31,1795,556
""5"",2008-12-31,1866,637
""5"",2009-01-31,1913,789
""5"",2009-03-31,2054,1488
""5"",2009-04-30,2112,1549
""5"",2009-05-31,2166,1538
""5"",2009-06-30,2245,1697
""5"",2009-07-31,2310,1896
""5"",2009-08-31,2339,1594
""5"",2009-09-30,2381,1936
""5"",2009-10-31,2431,1830
""5"",2009-11-30,2459,1792
""5"",2009-12-31,2494,1796
""5"",2010-01-31,2520,1547
""5"",2010-02-28,2548,1583
""5"",2010-03-31,2592,2181
""5"",2010-04-30,2624,1974
""5"",2010-05-31,2657,2088
""5"",2010-06-30,2683,2217
""5"",2010-07-31,2716,2239
""5"",2010-08-31,2759,2378
""5"",2010-09-30,2806,2408
""5"",2010-10-31,2863,2544
""5"",2010-11-30,2891,2382
""5"",2010-12-31,2934,2561
""5"",2011-01-31,2950,2614
""5"",2011-02-28,3000,2684
""5"",2011-03-31,3038,2929
""5"",2011-04-30,3081,2619
""5"",2011-05-31,3112,2697
""5"",2011-06-30,3143,2542
""5"",2011-07-31,3181,2640
""5"",2011-08-31,3222,3035
""5"",2011-09-30,3272,3073
""5"",2011-10-31,3344,3348
""5"",2011-11-30,3405,3456
""5"",2011-12-31,3471,2908
""5"",2012-01-31,3530,3215
""7"",2006-01-31,761,978
""7"",2006-03-31,869,1154
""7"",2006-04-30,929,1122
""7"",2006-06-30,1095,1473
""7"",2006-07-31,1180,1504
""7"",2006-09-30,1370,1636
""7"",2006-10-31,1465,1904
""7"",2006-12-31,1636,1889
""7"",2007-01-31,1766,2237
""7"",2007-03-31,1990,2120
""7"",2007-04-30,2130,2317
""7"",2007-06-30,2390,2463
""7"",2007-07-31,2505,2544
""7"",2007-09-30,2705,2269
""7"",2007-10-31,2802,2355
""7"",2007-12-31,3020,2363
""7"",2008-01-31,3180,2912
""7"",2008-03-31,3438,2897
""7"",2008-04-30,3560,3239
""7"",2008-06-30,3845,3123
""7"",2008-07-31,4005,2709
""7"",2008-09-30,4233,2298
""7"",2008-10-31,4340,1738
""7"",2008-12-31,4562,2857
""7"",2009-01-31,4690,3100
""7"",2009-03-31,4982,3781
""7"",2009-04-30,5111,3439
""7"",2009-05-31,5229,3400
""7"",2009-06-30,5345,3309
""7"",2009-07-31,5491,3925
""7"",2009-08-31,5598,3178
""7"",2009-09-30,5726,3329
""7"",2009-10-31,5852,3772
""7"",2009-11-30,5962,3439
""7"",2009-12-31,6066,3431
