clinic,status,day,population
11120,5,2011-09-30,81
11120,5,2011-10-31,88
11120,5,2011-11-30,80
11120,5,2011-12-31,57
11120,5,2012-01-31,71
11120,6,2009-07-31,2
11120,6,2009-08-31,2
11120,6,2009-09-30,4
11120,6,2009-10-31,7
11120,6,2009-11-30,9
11120,6,2009-12-31,12
11120,6,2010-01-31,13
11120,6,2010-02-28,12
11120,6,2010-03-31,17
11120,6,2010-04-30,21
11120,6,2010-05-31,23
11120,6,2010-06-30,24
11120,6,2010-07-31,28
11120,6,2010-08-31,32
11120,6,2010-09-30,35
11120,6,2010-10-31,38
11120,6,2010-11-30,42
11120,6,2010-12-31,39
11120,6,2011-01-31,46
11120,6,2011-02-28,54
11120,6,2011-03-31,63
11120,6,2011-04-30,62
11120,6,2011-05-31,63
11120,6,2011-06-30,35
11120,6,2011-07-31,18
11120,6,2011-08-31,32
11120,6,2011-09-30,47
11120,6,2011-10-31,51
11120,6,2011-11-30,63
11120,6,2011-12-31,69
11120,6,2012-01-31,50
11120,7,2007-07-31,1
11120,7,2007-09-30,1
11120,7,2007-10-31,1
11120,7,2008-10-31,1
11120,7,2008-12-31,1
11120,7,2009-05-31,1
11120,7,2009-06-30,4
11120,7,2009-07-31,6
11120,7,2009-08-31,18
11120,7,2009-09-30,21
11120,7,2009-10-31,27
11120,7,2009-11-30,23
11120,7,2009-12-31,28
11120,7,2010-01-31,27
11120,7,2010-02-28,22
11120,7,2010-03-31,26
11120,7,2010-04-30,43
11120,7,2010-05-31,46
11120,7,2010-06-30,68
11120,7,2010-07-31,75
11120,7,2010-08-31,76
11120,7,2010-09-30,76
11120,7,2010-10-31,76
11120,7,2010-11-30,82
11120,7,2010-12-31,80
11120,7,2011-01-31,86
11120,7,2011-02-28,88
11120,7,2011-03-31,98
11120,7,2011-04-30,88
11120,7,2011-05-31,89
11120,7,2011-06-30,107
11120,7,2011-07-31,101
11120,7,2011-08-31,85
11120,7,2011-09-30,84
11120,7,2011-10-31,84
11120,7,2011-11-30,69
11120,7,2011-12-31,82
11120,7,2012-01-31,71
11120,8,2010-03-31,1
11120,8,2010-04-30,1
11120,8,2010-09-30,1
11120,8,2010-10-31,1
11120,8,2010-11-30,3
11120,8,2010-12-31,4
11120,8,2011-01-31,4
11120,8,2011-02-28,2
11120,8,2011-03-31,3
11120,8,2011-04-30,4
11120,8,2011-05-31,2
11120,8,2011-06-30,4
11120,8,2011-07-31,3
11120,8,2011-08-31,7
11120,8,2011-09-30,6
11120,8,2011-10-31,7
11120,8,2011-11-30,10
11120,8,2011-12-31,15
11120,8,2012-01-31,13
11120,9,2009-09-30,3
11120,9,2009-10-31,5
11120,9,2009-11-30,6
11120,9,2009-12-31,9
11120,9,2010-01-31,12
11120,9,2010-02-28,14
11120,9,2010-03-31,15
11120,9,2010-04-30,16
11120,9,2010-05-31,18
11120,9,2010-06-30,22
11120,9,2010-07-31,39
11120,9,2010-08-31,42
11120,9,2010-09-30,49
11120,9,2010-10-31,50
11120,9,2010-11-30,52
11120,9,2010-12-31,55
11120,9,2011-01-31,58
11120,9,2011-02-28,62
11120,9,2011-03-31,67
11120,9,2011-04-30,72
11120,9,2011-05-31,77
11120,9,2011-06-30,80
11120,9,2011-07-31,80
11120,9,2011-08-31,81
11120,9,2011-09-30,84
11120,9,2011-10-31,85
11120,9,2011-11-30,87
11120,9,2011-12-31,100
11120,9,2012-01-31,100
11120,10,2007-12-31,1
11120,10,2008-01-31,1
11120,10,2008-03-31,1
11120,10,2008-04-30,1
11120,10,2008-06-30,1
11120,10,2008-07-31,1
11120,10,2008-09-30,1
11120,10,2008-10-31,1
11120,10,2008-12-31,1
11120,10,2009-01-31,2
11120,10,2009-03-31,2
11120,10,2009-04-30,2
11120,10,2009-05-31,3
11120,10,2009-06-30,3
11120,10,2009-07-31,1
11120,10,2009-08-31,1
11120,10,2009-09-30,1
11120,10,2009-12-31,2
11120,10,2010-01-31,4
11120,10,2010-02-28,5
11120,10,2010-03-31,5
11120,10,2010-04-30,6
11120,10,2010-05-31,7
11120,10,2010-06-30,8
11120,10,2010-07-31,1
11120,10,2010-08-31,1
