encounter,day,encounters
7,2008-03-31,293
7,2008-04-30,376
7,2008-05-31,310
7,2008-06-30,316
7,2008-07-31,287
7,2008-08-31,267
7,2008-09-30,217
7,2008-10-31,112
7,2008-11-30,153
7,2008-12-31,306
7,2009-01-31,420
7,2009-02-28,613
7,2009-03-31,816
7,2009-04-30,512
7,2009-05-31,837
7,2009-06-30,711
7,2009-07-31,907
7,2009-08-31,821
7,2009-09-30,619
7,2009-10-31,803
7,2009-11-30,829
7,2009-12-31,810
7,2010-01-31,754
7,2010-02-28,754
7,2010-03-31,1170
7,2010-04-30,984
7,2010-05-31,815
7,2010-06-30,861
7,2010-07-31,908
7,2010-08-31,986
7,2010-09-30,859
7,2010-10-31,949
7,2010-11-30,641
7,2010-12-31,614
7,2011-01-31,891
7,2011-02-28,1055
7,2011-03-31,949
7,2011-04-30,1030
7,2011-05-31,1198
7,2011-06-30,1222
7,2011-07-31,1270
7,2011-08-31,1263
7,2011-09-30,1405
7,2011-10-31,1483
7,2011-11-30,1316
7,2011-12-31,930
7,2012-01-31,1181
7,2012-02-29,389
7,2012-03-31,7
9,2006-05-31,1
9,2006-07-31,6
9,2006-08-31,2
9,2006-09-30,6
9,2007-03-31,1
9,2007-04-30,1
9,2007-05-31,1
9,2007-07-31,2
9,2007-08-31,1
9,2007-09-30,2
9,2007-10-31,2
9,2008-01-31,1
9,2008-06-30,1
9,2008-07-31,2
9,2008-08-31,1
9,2009-01-31,1
9,2009-02-28,3
9,2009-03-31,4
9,2009-04-30,3
9,2009-06-30,1
9,2010-01-31,1
9,2010-02-28,2
9,2010-03-31,3
9,2010-04-30,1
9,2010-05-31,1
9,2010-06-30,1
9,2010-12-31,4
9,2011-01-31,3
9,2011-02-28,2
9,2011-03-31,2
9,2011-08-31,3
9,2011-11-30,1
10,2006-01-31,479
10,2006-02-28,359
10,2006-03-31,648
10,2006-04-30,518
10,2006-05-31,617
10,2006-06-30,786
10,2006-07-31,693
10,2006-08-31,681
10,2006-09-30,671
10,2006-10-31,704
10,2006-11-30,726
10,2006-12-31,646
10,2007-01-31,811
10,2007-02-28,729
10,2007-03-31,1028
10,2007-04-30,946
10,2007-05-31,1063
10,2007-06-30,958
10,2007-07-31,1125
10,2007-08-31,1111
10,2007-09-30,956
10,2007-10-31,1048
10,2007-11-30,1088
10,2007-12-31,890
10,2008-01-31,1081
10,2008-02-29,1050
10,2008-03-31,1079
10,2008-04-30,1073
10,2008-05-31,1091
10,2008-06-30,1241
10,2008-07-31,1318
10,2008-08-31,1022
10,2008-09-30,1081
10,2008-10-31,1165
10,2008-11-30,989
10,2008-12-31,1160
10,2009-01-31,1380
10,2009-02-28,1093
10,2009-03-31,1453
10,2009-04-30,1188
10,2009-05-31,1015
10,2009-06-30,1198
10,2009-07-31,1252
10,2009-08-31,1064
10,2009-09-30,1212
10,2009-10-31,1081
10,2009-11-30,979
10,2009-12-31,870
10,2010-01-31,590
10,2010-02-28,634
10,2010-03-31,1014
10,2010-04-30,1048
10,2010-05-31,894
10,2010-06-30,906
10,2010-07-31,975
10,2010-08-31,923
10,2010-09-30,1023
10,2010-10-31,920
10,2010-11-30,640
10,2010-12-31,632
10,2011-01-31,1291
10,2011-02-28,1145
10,2011-03-31,1080
10,2011-04-30,1007
10,2011-05-31,1963
10,2011-06-30,2649
10,2011-07-31,2240
10,2011-08-31,2486
10,2011-09-30,2288
10,2011-10-31,2005
10,2011-11-30,2280
10,2011-12-31,1851
10,2012-01-31,1994
10,2012-02-29,1488
10,2012-03-31,7
11,2006-01-31,27
11,2006-02-28,32
11,2006-03-31,39
11,2006-04-30,26
11,2006-05-31,59
11,2006-06-30,63
11,2006-07-31,75
11,2006-08-31,57
11,2006-09-30,64
11,2006-10-31,61
11,2006-11-30,67
11,2006-12-31,74
11,2007-01-31,87
11,2007-02-28,72
11,2007-03-31,125
11,2007-04-30,109
11,2007-05-31,151
11,2007-06-30,161
11,2007-07-31,151
11,2007-08-31,111
11,2007-09-30,98
11,2007-10-31,103
11,2007-11-30,118
11,2007-12-31,108
11,2008-01-31,162
11,2008-02-29,100
11,2008-03-31,135
11,2008-04-30,208
11,2008-05-31,223
11,2008-06-30,240
11,2008-07-31,199
11,2008-08-31,177
11,2008-09-30,202
11,2008-10-31,211
11,2008-11-30,132
11,2008-12-31,159
11,2009-01-31,184
11,2009-02-28,175
11,2009-03-31,224
11,2009-04-30,249
11,2009-05-31,255
11,2009-06-30,273
11,2009-07-31,261
11,2009-08-31,221
11,2009-09-30,204
11,2009-10-31,233
11,2009-11-30,140
11,2009-12-31,210
11,2010-01-31,87
11,2010-02-28,116
11,2010-03-31,147
11,2010-04-30,240
11,2010-05-31,238
11,2010-06-30,177
11,2010-07-31,212
11,2010-08-31,139
11,2010-09-30,229
11,2010-10-31,204
11,2010-11-30,126
11,2010-12-31,143
11,2011-01-31,153
11,2011-02-28,176
11,2011-03-31,206
11,2011-04-30,212
11,2011-05-31,247
11,2011-06-30,215
11,2011-07-31,312
11,2011-08-31,283
11,2011-09-30,220
11,2011-10-31,188
11,2011-11-30,185
11,2011-12-31,171
11,2012-01-31,219
11,2012-02-29,214
11,2012-03-31,22
12,2006-01-31,26
12,2006-02-28,35
12,2006-03-31,48
12,2006-04-30,44
12,2006-05-31,76
12,2006-06-30,77
12,2006-07-31,72
12,2006-08-31,106
12,2006-09-30,72
12,2006-10-31,87
12,2006-11-30,104
12,2006-12-31,145
12,2007-01-31,97
12,2007-02-28,124
12,2007-03-31,283
12,2007-04-30,198
12,2007-05-31,164
12,2007-06-30,117
12,2007-07-31,165
12,2007-08-31,114
12,2007-09-30,165
12,2007-10-31,169
12,2007-11-30,196
12,2007-12-31,171
12,2008-01-31,186
12,2008-02-29,541
12,2008-03-31,225
12,2008-04-30,343
12,2008-05-31,272
12,2008-06-30,757
12,2008-07-31,509
12,2008-08-31,217
12,2008-09-30,189
12,2008-10-31,235
12,2008-11-30,265
12,2008-12-31,546
12,2009-01-31,533
12,2009-02-28,297
12,2009-03-31,492
12,2009-04-30,995
12,2009-05-31,1197
12,2009-06-30,732
12,2009-07-31,795
12,2009-08-31,351
12,2009-09-30,485
12,2009-10-31,1361
12,2009-11-30,578
12,2009-12-31,343
12,2010-01-31,273
12,2010-02-28,326
12,2010-03-31,532
12,2010-04-30,548
12,2010-05-31,470
12,2010-06-30,332
12,2010-07-31,588
12,2010-08-31,320
12,2010-09-30,668
12,2010-10-31,747
12,2010-11-30,346
12,2010-12-31,392
12,2011-01-31,463
12,2011-02-28,432
12,2011-03-31,679
12,2011-04-30,1006
12,2011-05-31,454
12,2011-06-30,378
12,2011-07-31,804
12,2011-08-31,726
12,2011-09-30,358
12,2011-10-31,368
12,2011-11-30,745
12,2011-12-31,551
12,2012-01-31,383
12,2012-02-29,1043
12,2012-03-31,147
14,2006-01-31,17
14,2006-02-28,11
14,2006-03-31,20
14,2006-04-30,17
14,2006-05-31,18
14,2006-06-30,34
14,2006-07-31,61
14,2006-08-31,99
14,2006-09-30,91
14,2006-10-31,115
14,2006-11-30,105
14,2006-12-31,124
14,2007-01-31,166
14,2007-02-28,160
14,2007-03-31,253
14,2007-04-30,316
14,2007-05-31,391
14,2007-06-30,350
14,2007-07-31,402
14,2007-08-31,425
14,2007-09-30,322
14,2007-10-31,434
14,2007-11-30,453
14,2007-12-31,488
14,2008-01-31,559
14,2008-02-29,627
14,2008-03-31,681
14,2008-04-30,729
14,2008-05-31,842
14,2008-06-30,879
14,2008-07-31,1057
14,2008-08-31,930
14,2008-09-30,931
14,2008-10-31,1363
14,2008-11-30,1180
14,2008-12-31,1638
14,2009-01-31,1994
14,2009-02-28,2543
14,2009-03-31,3295
14,2009-04-30,3365
14,2009-05-31,3523
14,2009-06-30,3951
14,2009-07-31,4598
14,2009-08-31,3955
14,2009-09-30,4597
14,2009-10-31,5125
14,2009-11-30,5504
14,2009-12-31,5735
14,2010-01-31,3537
14,2010-02-28,3165
14,2010-03-31,4235
14,2010-04-30,5021
14,2010-05-31,5295
14,2010-06-30,5824
14,2010-07-31,6492
14,2010-08-31,6132
14,2010-09-30,6505
14,2010-10-31,6941
14,2010-11-30,6056
14,2010-12-31,5899
14,2011-01-31,6731
14,2011-02-28,5362
14,2011-03-31,7700
14,2011-04-30,7359
14,2011-05-31,7736
14,2011-06-30,6976
14,2011-07-31,7227
14,2011-08-31,6943
14,2011-09-30,6562
14,2011-10-31,7370
14,2011-11-30,7317
14,2011-12-31,7410
14,2012-01-31,7890
14,2012-02-29,7285
14,2012-03-31,115
15,2006-01-31,37
15,2006-02-28,25
15,2006-03-31,36
15,2006-04-30,21
15,2006-05-31,49
15,2006-06-30,35
15,2006-07-31,43
15,2006-08-31,35
15,2006-09-30,27
15,2006-10-31,41
15,2006-11-30,37
15,2006-12-31,35
15,2007-01-31,52
15,2007-02-28,39
15,2007-03-31,73
15,2007-04-30,64
15,2007-05-31,66
15,2007-06-30,52
15,2007-07-31,84
15,2007-08-31,64
15,2007-09-30,68
15,2007-10-31,89
15,2007-11-30,74
15,2007-12-31,80
15,2008-01-31,87
15,2008-02-29,94
15,2008-03-31,94
15,2008-04-30,70
15,2008-05-31,84
15,2008-06-30,85
15,2008-07-31,87
15,2008-08-31,85
15,2008-09-30,85
15,2008-10-31,90
15,2008-11-30,76
15,2008-12-31,103
15,2009-01-31,123
15,2009-02-28,93
15,2009-03-31,124
15,2009-04-30,149
15,2009-05-31,126
15,2009-06-30,133
15,2009-07-31,142
15,2009-08-31,133
15,2009-09-30,155
15,2009-10-31,116
15,2009-11-30,144
15,2009-12-31,152
15,2010-01-31,79
15,2010-02-28,95
15,2010-03-31,131
15,2010-04-30,114
15,2010-05-31,106
15,2010-06-30,88
15,2010-07-31,108
15,2010-08-31,131
15,2010-09-30,145
15,2010-10-31,111
15,2010-11-30,117
15,2010-12-31,107
15,2011-01-31,175
15,2011-02-28,234
15,2011-03-31,175
15,2011-04-30,133
15,2011-05-31,163
15,2011-06-30,174
15,2011-07-31,176
15,2011-08-31,257
15,2011-09-30,328
15,2011-10-31,415
15,2011-11-30,524
15,2011-12-31,260
15,2012-01-31,260
15,2012-02-29,190
15,2012-03-31,6
16,2006-01-31,35
16,2006-02-28,22
16,2006-03-31,37
16,2006-04-30,18
16,2006-05-31,44
16,2006-06-30,28
16,2006-07-31,45
16,2006-08-31,30
16,2006-09-30,24
16,2006-10-31,37
16,2006-11-30,28
16,2006-12-31,28
16,2007-01-31,42
16,2007-02-28,41
16,2007-03-31,56
16,2007-04-30,60
16,2007-05-31,67
16,2007-06-30,40
16,2007-07-31,77
16,2007-08-31,60
16,2007-09-30,68
16,2007-10-31,103
16,2007-11-30,79
16,2007-12-31,72
16,2008-01-31,71
16,2008-02-29,82
16,2008-03-31,88
16,2008-04-30,63
16,2008-05-31,74
16,2008-06-30,82
16,2008-07-31,90
16,2008-08-31,74
16,2008-09-30,81
16,2008-10-31,85
16,2008-11-30,75
16,2008-12-31,97
16,2009-01-31,112
16,2009-02-28,91
16,2009-03-31,119
16,2009-04-30,128
16,2009-05-31,112
16,2009-06-30,119
16,2009-07-31,133
16,2009-08-31,120
16,2009-09-30,154
16,2009-10-31,104
16,2009-11-30,133
16,2009-12-31,142
16,2010-01-31,76
16,2010-02-28,69
16,2010-03-31,122
16,2010-04-30,113
16,2010-05-31,99
16,2010-06-30,82
16,2010-07-31,93
16,2010-08-31,116
16,2010-09-30,131
16,2010-10-31,98
16,2010-11-30,102
16,2010-12-31,97
16,2011-01-31,131
16,2011-02-28,123
16,2011-03-31,131
16,2011-04-30,104
16,2011-05-31,119
16,2011-06-30,111
16,2011-07-31,109
16,2011-08-31,136
16,2011-09-30,187
16,2011-10-31,194
16,2011-11-30,165
16,2011-12-31,157
16,2012-01-31,131
16,2012-02-29,96
16,2012-03-31,5
17,2006-01-31,97
17,2006-02-28,96
17,2006-03-31,157
17,2006-04-30,126
17,2006-05-31,150
17,2006-06-30,158
17,2006-07-31,154
17,2006-08-31,187
17,2006-09-30,193
17,2006-10-31,193
17,2006-11-30,196
17,2006-12-31,200
17,2007-01-31,231
17,2007-02-28,230
17,2007-03-31,292
17,2007-04-30,275
17,2007-05-31,359
17,2007-06-30,362
17,2007-07-31,425
17,2007-08-31,401
17,2007-09-30,429
17,2007-10-31,445
17,2007-11-30,497
17,2007-12-31,445
17,2008-01-31,567
17,2008-02-29,588
17,2008-03-31,608
17,2008-04-30,701
17,2008-05-31,646
17,2008-06-30,689
17,2008-07-31,686
17,2008-08-31,644
17,2008-09-30,693
17,2008-10-31,703
17,2008-11-30,602
17,2008-12-31,660
17,2009-01-31,766
17,2009-02-28,741
17,2009-03-31,913
17,2009-04-30,1016
17,2009-05-31,883
17,2009-06-30,1035
17,2009-07-31,1146
17,2009-08-31,1045
17,2009-09-30,1205
17,2009-10-31,1133
17,2009-11-30,1210
17,2009-12-31,1221
17,2010-01-31,803
17,2010-02-28,848
17,2010-03-31,1107
17,2010-04-30,1078
17,2010-05-31,1072
17,2010-06-30,1093
17,2010-07-31,1117
17,2010-08-31,1212
17,2010-09-30,1229
17,2010-10-31,1232
17,2010-11-30,1066
17,2010-12-31,1059
17,2011-01-31,1222
17,2011-02-28,1180
17,2011-03-31,1369
17,2011-04-30,1297
17,2011-05-31,1347
17,2011-06-30,1321
17,2011-07-31,1458
17,2011-08-31,1538
17,2011-09-30,1451
17,2011-10-31,1446
17,2011-11-30,1537
17,2011-12-31,1615
17,2012-01-31,1632
17,2012-02-29,1385
17,2012-03-31,73
18,2006-01-31,68
18,2006-02-28,66
18,2006-03-31,115
18,2006-04-30,87
18,2006-05-31,111
18,2006-06-30,100
18,2006-07-31,113
18,2006-08-31,130
18,2006-09-30,134
18,2006-10-31,144
18,2006-11-30,140
18,2006-12-31,151
18,2007-01-31,180
18,2007-02-28,183
18,2007-03-31,227
18,2007-04-30,227
18,2007-05-31,281
18,2007-06-30,276
18,2007-07-31,316
18,2007-08-31,348
18,2007-09-30,325
18,2007-10-31,430
18,2007-11-30,437
18,2007-12-31,449
18,2008-01-31,548
18,2008-02-29,548
18,2008-03-31,544
18,2008-04-30,581
18,2008-05-31,583
18,2008-06-30,618
18,2008-07-31,673
18,2008-08-31,605
18,2008-09-30,694
18,2008-10-31,736
18,2008-11-30,690
18,2008-12-31,697
18,2009-01-31,824
18,2009-02-28,793
18,2009-03-31,934
18,2009-04-30,980
18,2009-05-31,926
18,2009-06-30,1044
18,2009-07-31,1201
18,2009-08-31,1081
18,2009-09-30,1287
18,2009-10-31,1242
18,2009-11-30,1352
18,2009-12-31,1380
18,2010-01-31,914
18,2010-02-28,957
18,2010-03-31,1165
18,2010-04-30,1207
18,2010-05-31,1187
18,2010-06-30,1163
18,2010-07-31,1210
18,2010-08-31,1320
18,2010-09-30,1266
18,2010-10-31,1306
18,2010-11-30,1178
18,2010-12-31,1227
18,2011-01-31,1341
18,2011-02-28,1233
18,2011-03-31,1551
18,2011-04-30,1472
18,2011-05-31,1569
18,2011-06-30,1513
18,2011-07-31,1659
18,2011-08-31,1680
18,2011-09-30,1672
18,2011-10-31,1735
18,2011-11-30,1789
18,2011-12-31,1779
18,2012-01-31,1876
18,2012-02-29,1582
18,2012-03-31,78
19,2006-01-31,101
19,2006-02-28,88
19,2006-03-31,137
19,2006-04-30,81
19,2006-05-31,141
19,2006-06-30,109
19,2006-07-31,127
19,2006-08-31,111
19,2006-09-30,66
19,2006-10-31,111
19,2006-11-30,125
19,2006-12-31,130
19,2007-01-31,173
19,2007-02-28,129
19,2007-03-31,257
19,2007-04-30,236
19,2007-05-31,256
19,2007-06-30,243
19,2007-07-31,269
19,2007-08-31,218
19,2007-09-30,211
19,2007-10-31,248
19,2007-11-30,241
19,2007-12-31,257
19,2008-01-31,285
19,2008-02-29,284
19,2008-03-31,316
19,2008-04-30,265
19,2008-05-31,265
19,2008-06-30,307
19,2008-07-31,312
19,2008-08-31,288
19,2008-09-30,274
19,2008-10-31,314
19,2008-11-30,300
19,2008-12-31,262
19,2009-01-31,350
19,2009-02-28,341
19,2009-03-31,383
19,2009-04-30,422
19,2009-05-31,319
19,2009-06-30,396
19,2009-07-31,437
19,2009-08-31,350
19,2009-09-30,418
19,2009-10-31,351
19,2009-11-30,441
19,2009-12-31,442
19,2010-01-31,254
19,2010-02-28,220
19,2010-03-31,399
19,2010-04-30,391
19,2010-05-31,383
19,2010-06-30,343
19,2010-07-31,323
19,2010-08-31,356
19,2010-09-30,392
19,2010-10-31,366
19,2010-11-30,238
19,2010-12-31,244
19,2011-01-31,333
19,2011-02-28,301
19,2011-03-31,407
19,2011-04-30,390
19,2011-05-31,382
19,2011-06-30,314
19,2011-07-31,410
19,2011-08-31,372
19,2011-09-30,406
19,2011-10-31,391
19,2011-11-30,420
19,2011-12-31,488
19,2012-01-31,412
19,2012-02-29,272
