status,day,population
7,2009-09-30,7038
7,2009-10-31,7189
7,2009-11-30,7186
7,2009-12-31,7255
7,2010-01-31,6818
7,2010-02-28,5900
7,2010-03-31,5941
7,2010-04-30,6438
7,2010-05-31,6911
7,2010-06-30,7018
7,2010-07-31,7085
7,2010-08-31,7087
7,2010-09-30,7117
7,2010-10-31,7229
7,2010-11-30,7029
7,2010-12-31,6735
7,2011-01-31,6828
7,2011-02-28,7301
7,2011-03-31,7431
7,2011-04-30,7423
7,2011-05-31,7317
7,2011-06-30,7476
7,2011-07-31,7490
7,2011-08-31,7538
7,2011-09-30,7340
7,2011-10-31,7427
7,2011-11-30,7424
7,2011-12-31,7513
7,2012-01-31,7324
8,2006-01-31,89
8,2006-03-31,101
8,2006-04-30,128
8,2006-06-30,157
8,2006-07-31,150
8,2006-09-30,188
8,2006-10-31,202
8,2006-12-31,231
8,2007-01-31,252
8,2007-03-31,354
8,2007-04-30,405
8,2007-06-30,469
8,2007-07-31,503
8,2007-09-30,640
8,2007-10-31,723
8,2007-12-31,902
8,2008-01-31,966
8,2008-03-31,1077
8,2008-04-30,1111
8,2008-06-30,1167
8,2008-07-31,1199
8,2008-09-30,1493
8,2008-10-31,1600
8,2008-12-31,1847
8,2009-01-31,1759
8,2009-03-31,1748
8,2009-04-30,1692
8,2009-05-31,1603
8,2009-06-30,1677
8,2009-07-31,1742
8,2009-08-31,1817
8,2009-09-30,1929
8,2009-10-31,1938
8,2009-11-30,1981
8,2009-12-31,2088
8,2010-01-31,2342
8,2010-02-28,2721
8,2010-03-31,3316
8,2010-04-30,3341
8,2010-05-31,3304
8,2010-06-30,3335
8,2010-07-31,3250
8,2010-08-31,3273
8,2010-09-30,3274
8,2010-10-31,3237
8,2010-11-30,3346
8,2010-12-31,3484
8,2011-01-31,3561
8,2011-02-28,3516
8,2011-03-31,3419
8,2011-04-30,3317
8,2011-05-31,3202
8,2011-06-30,3174
8,2011-07-31,3196
8,2011-08-31,3367
8,2011-09-30,3397
8,2011-10-31,3576
8,2011-11-30,3833
8,2011-12-31,4078
8,2012-01-31,4500
9,2006-01-31,578
9,2006-03-31,725
9,2006-04-30,759
9,2006-06-30,929
9,2006-07-31,1004
9,2006-09-30,1215
9,2006-10-31,1258
9,2006-12-31,1502
9,2007-01-31,1521
9,2007-03-31,1787
9,2007-04-30,1881
9,2007-06-30,2169
9,2007-07-31,2367
9,2007-09-30,2756
9,2007-10-31,2790
9,2007-12-31,3066
9,2008-01-31,3193
9,2008-03-31,3899
9,2008-04-30,4164
9,2008-06-30,4501
9,2008-07-31,4730
9,2008-09-30,5765
9,2008-10-31,5202
9,2008-12-31,5570
9,2009-01-31,5970
9,2009-03-31,6467
9,2009-04-30,7188
9,2009-05-31,8418
9,2009-06-30,9097
9,2009-07-31,10046
9,2009-08-31,10355
9,2009-09-30,11014
9,2009-10-31,11873
9,2009-11-30,12254
9,2009-12-31,12530
9,2010-01-31,12708
9,2010-02-28,12876
9,2010-03-31,13170
9,2010-04-30,13472
9,2010-05-31,13752
9,2010-06-30,13986
9,2010-07-31,14357
9,2010-08-31,14515
9,2010-09-30,14949
9,2010-10-31,15553
9,2010-11-30,15854
9,2010-12-31,16189
9,2011-01-31,16442
9,2011-02-28,16609
9,2011-03-31,17020
9,2011-04-30,17580
9,2011-05-31,17796
9,2011-06-30,18004
9,2011-07-31,18241
9,2011-08-31,18579
9,2011-09-30,18719
9,2011-10-31,18969
9,2011-11-30,19316
9,2011-12-31,19565
9,2012-01-31,19791
10,2006-01-31,1342
10,2006-03-31,1570
10,2006-04-30,1615
10,2006-06-30,1854
10,2006-07-31,1951
10,2006-09-30,2290
10,2006-10-31,2389
10,2006-12-31,2880
10,2007-01-31,3076
10,2007-03-31,3497
10,2007-04-30,3564
10,2007-06-30,3994
10,2007-07-31,4210
10,2007-09-30,4910
10,2007-10-31,5144
10,2007-12-31,5732
10,2008-01-31,6138
10,2008-03-31,6408
10,2008-04-30,6613
10,2008-06-30,7170
10,2008-07-31,7521
10,2008-09-30,8131
10,2008-10-31,8768
10,2008-12-31,9627
10,2009-01-31,9779
10,2009-03-31,10226
10,2009-04-30,10066
10,2009-05-31,9473
10,2009-06-30,9674
10,2009-07-31,9430
10,2009-08-31,9724
10,2009-09-30,9861
10,2009-10-31,9523
10,2009-11-30,9784
10,2009-12-31,10252
10,2010-01-31,10858
10,2010-02-28,11305
10,2010-03-31,11763
10,2010-04-30,12123
10,2010-05-31,12632
10,2010-06-30,13246
10,2010-07-31,13205
10,2010-08-31,13371
10,2010-09-30,13375
10,2010-10-31,13341
10,2010-11-30,13569
10,2010-12-31,13793
10,2011-01-31,14076
10,2011-02-28,14296
10,2011-03-31,14472
10,2011-04-30,14409
10,2011-05-31,14530
10,2011-06-30,14534
10,2011-07-31,14605
10,2011-08-31,14554
10,2011-09-30,14693
10,2011-10-31,14768
10,2011-11-30,14788
10,2011-12-31,14978
10,2012-01-31,15304
