clinic,day,population,encounters
11217,2008-03-31,133,217
11217,2008-04-30,150,276
11217,2008-06-30,208,506
11217,2008-07-31,235,443
11217,2008-09-30,276,464
11217,2008-10-31,300,523
11217,2008-12-31,397,917
11217,2009-01-31,606,1720
11217,2009-03-31,793,1520
11217,2009-04-30,848,1616
11217,2009-05-31,888,1639
11217,2009-06-30,945,1717
11217,2009-07-31,983,1580
11217,2009-08-31,1018,1450
11217,2009-09-30,1069,1749
11217,2009-10-31,1100,1475
11217,2009-11-30,1135,1879
11217,2009-12-31,1175,1644
11217,2010-01-31,1187,980
11217,2010-02-28,1207,1173
11217,2010-03-31,1232,2015
11217,2010-04-30,1265,1761
11217,2010-05-31,1303,1719
11217,2010-06-30,1327,1486
11217,2010-07-31,1358,1671
11217,2010-08-31,1382,1772
11217,2010-09-30,1424,1796
11217,2010-10-31,1445,1390
11217,2010-11-30,1457,1026
11217,2010-12-31,1483,1210
11217,2011-01-31,1523,1927
11217,2011-02-28,1546,1922
11217,2011-03-31,1566,1361
11217,2011-04-30,1587,1457
11217,2011-05-31,1628,3551
11217,2011-06-30,1674,4728
11217,2011-07-31,1705,4114
11217,2011-08-31,1748,3939
11217,2011-09-30,1781,3254
11217,2011-10-31,1829,3066
11217,2011-11-30,1846,2329
11217,2011-12-31,1883,2164
11217,2012-01-31,1910,2399
11221,2006-01-31,22,0
11221,2006-03-31,21,0
11221,2006-04-30,24,1
11221,2006-06-30,24,2
11221,2006-07-31,26,0
11221,2006-09-30,28,0
11221,2006-10-31,28,0
11221,2006-12-31,26,0
11221,2007-01-31,31,4
11221,2007-03-31,33,1
11221,2007-04-30,38,3
11221,2007-06-30,79,64
11221,2007-07-31,109,128
11221,2007-09-30,178,235
11221,2007-10-31,222,341
11221,2007-12-31,272,456
11221,2008-01-31,320,518
11221,2008-03-31,418,692
11221,2008-04-30,472,877
11221,2008-06-30,596,1414
11221,2008-07-31,669,1334
11221,2008-09-30,800,1168
11221,2008-10-31,850,1533
11221,2008-12-31,941,1543
11221,2009-01-31,1004,1669
11221,2009-03-31,1110,2023
11221,2009-04-30,1170,1874
11221,2009-05-31,1218,1916
11221,2009-06-30,1275,1990
11221,2009-07-31,1353,2223
11221,2009-08-31,1402,2084
11221,2009-09-30,1465,2550
11221,2009-10-31,1523,2521
11221,2009-11-30,1561,2196
11221,2009-12-31,1614,2263
11221,2010-01-31,1639,1013
11221,2010-02-28,1655,1077
11221,2010-03-31,1701,2458
11221,2010-04-30,1739,2265
11221,2010-05-31,1766,2164
11221,2010-06-30,1812,2161
11221,2010-07-31,1857,2325
11221,2010-08-31,1902,2434
11221,2010-09-30,1959,2447
11221,2010-10-31,2017,2711
11221,2010-11-30,2056,2354
11221,2010-12-31,2082,2289
11221,2011-01-31,2124,2590
11221,2011-02-28,2170,2589
11221,2011-03-31,2208,3300
11221,2011-04-30,2259,3264
11221,2011-05-31,2317,3790
11221,2011-06-30,2393,3492
11221,2011-07-31,2450,3765
